Beaver_Pond_Polygons_YK_Dam_Num,Beaver_Ponds_2020_OBJECTID,Beaver_Ponds_2020_Fire_Name,Beaver_Ponds_2020_Fire_Year,Beaver_Ponds_2020_Ig_Date,Beaver_Ponds_2020_Dam_Num,Beaver_Ponds_2020_Confidence,Beaver_Ponds_2020_Notes,BUFF_DIST,ORIG_FID,Percent_Unburned,Percent_Mild_Burn,Percent_Moderate_Burn,Percent_Severe_Burn,Unburned_Area_sq_m,Mild_burn_Area_sq_m,Moderate_burn_Area_sq_m,Shape_Length,Shape_Area,Severe_burn_Area_sq_m
1.000000000000000,2,CHALKYITSIK COMPLEX,2019.000000000000000,7/9/2019 0:00:00,1.000000000000000,Y,,30.000000000000000,1,2.451660519963666,97.548339358711061,0.000000000000000,0.000000000000000,188.133436052042953,7485.581349981128369,0.000000000000000,314.749883947667513,7673.714795343326841,0.000000000000000
2.000000000000000,3,LITTLE MUD RIVER,2019.000000000000000,6/21/2019 0:00:00,2.000000000000000,M,Poor imagery,30.000000000000000,2,0.000000000000000,13.795461604146384,44.316991868374345,41.887545262754415,0.000000000000000,511.824305542273635,1644.201132054602340,216.184107803287930,3710.091914491929401,1554.066429972598826
4.000000000000000,7,LITTLE MUD RIVER,2019.000000000000000,6/21/2019 0:00:00,4.000000000000000,M,Poor imagery,30.000000000000000,3,0.000000000000000,30.319632092600806,38.362041864039909,31.318328057936846,0.000000000000000,1157.222059257303499,1464.180071434735510,219.212278527235384,3816.741759012674720,1195.339705211858700
3.000000000000000,6,LITTLE MUD RIVER,2019.000000000000000,6/21/2019 0:00:00,3.000000000000000,M,Poor imagery,30.000000000000000,4,0.000000000000000,13.047774844805010,62.525896071121522,24.426327694618355,0.000000000000000,560.275036410986218,2684.879154841108175,232.950759919494118,4294.027472692483570,1048.873221776804712
5.000000000000000,8,LITTLE MUD RIVER,2019.000000000000000,6/21/2019 0:00:00,5.000000000000000,M,Poor imagery,30.000000000000000,5,0.000000000000000,7.706832337526389,44.760401536222034,47.532767770942698,0.000000000000000,347.242015889066295,2016.741948019390065,238.650602268761418,4505.638642198855450,2141.654752394237676
6.000000000000000,9,VICTORIA MOUNTAIN,2019.000000000000000,6/22/2019 0:00:00,6.000000000000000,Y,,30.000000000000000,6,42.349958327881666,38.934606219115373,18.715436649904433,0.000000000000000,5887.516252255049949,5412.711982275479386,2601.831071267401057,518.090572803383907,13902.059139403980225,0.000000000000000
7.000000000000000,10,VICTORIA MOUNTAIN,2019.000000000000000,6/22/2019 0:00:00,7.000000000000000,Y,,30.000000000000000,7,71.358875138832829,28.067811240450101,0.573315033333151,0.000000000000000,18164.792648425005609,7144.815137373927428,145.940482980711636,671.405879293752946,25455.547909190481732,0.000000000000000
8.000000000000000,11,HOG,2016.000000000000000,7/6/2016 0:00:00,8.000000000000000,Y,,30.000000000000000,8,4.312741321444434,58.018131327277942,37.669127874892474,0.000000000000000,603.429864123982497,8117.777184888313059,5270.586622524875565,483.307235920702340,13991.793598274061878,0.000000000000000
9.000000000000000,12,HOG,2016.000000000000000,7/6/2016 0:00:00,9.000000000000000,M,Poor imagery,30.000000000000000,9,28.815629697621670,34.124537351557535,37.059833281021568,0.000000000000000,1776.917599620089959,2104.291720679642822,2285.296926947557495,289.489909678645290,6166.506226885438991,0.000000000000000
10.000000000000000,13,HOG,2016.000000000000000,7/6/2016 0:00:00,10.000000000000000,M,Poor imagery,30.000000000000000,10,0.000000000000000,81.294986664582709,18.705013352678506,0.000000000000000,0.000000000000000,3823.143000093919454,879.659912621786475,246.394854199967028,4702.802911903944732,0.000000000000000
11.000000000000000,14,HOG,2016.000000000000000,7/6/2016 0:00:00,11.000000000000000,M,Poor imagery,30.000000000000000,11,0.000000000000000,70.200209835808636,29.799788496204453,0.000000000000000,0.000000000000000,2892.446053355721688,1227.835085226692854,228.164302295563175,4120.281207308165904,0.000000000000000
12.000000000000000,15,HOG,2016.000000000000000,7/6/2016 0:00:00,12.000000000000000,M,Poor imagery,30.000000000000000,12,0.000000000000000,85.475104165560296,14.524896400915067,0.000000000000000,0.000000000000000,8699.322928329078422,1478.287339051839808,394.919330013930164,10177.610209727265101,0.000000000000000
13.000000000000000,16,HOG,2016.000000000000000,7/6/2016 0:00:00,13.000000000000000,M,Poor imagery,30.000000000000000,13,0.000000000000000,99.214846830076837,0.785154260149014,0.000000000000000,0.000000000000000,5593.298596517617625,44.263558949626912,274.221205905553688,5637.562094005085783,0.000000000000000
14.000000000000000,17,HOG,2016.000000000000000,7/6/2016 0:00:00,14.000000000000000,M,Poor imagery,30.000000000000000,14,7.250590065549105,92.749409719834802,0.000000000000000,0.000000000000000,625.140578061946144,7996.786341936260214,0.000000000000000,359.040301772792986,8621.926938502248959,0.000000000000000
15.000000000000000,24,HOG,2016.000000000000000,7/6/2016 0:00:00,15.000000000000000,M,Poor imagery,30.000000000000000,15,0.000000000000000,42.109787159375472,57.422344895883661,0.467869294996628,0.000000000000000,1673.128764475178741,2281.535563342949445,224.255449062613792,3973.253909222543825,18.589635053505475
16.000000000000000,25,HOG,2016.000000000000000,7/6/2016 0:00:00,16.000000000000000,M,Poor imagery,30.000000000000000,16,0.000000000000000,9.909649310131829,90.090348639138995,0.000000000000000,0.000000000000000,365.270347225374451,3320.736375143791065,215.571480546142311,3686.006797959182222,0.000000000000000
